epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1804,1.2004,0.85359,1.14859,0.76425,0.64657,0.7118,0.43285,1.07583,0.68639,1.24201,0.00012861,0.00012861,0.00012861
2,22.3396,1.2148,0.78535,1.15362,0.69079,0.67112,0.71071,0.42747,1.08308,0.77733,1.24712,0.000266134,0.000266134,0.000266134
3,28.4701,1.20719,0.76524,1.14736,0.77286,0.6535,0.69229,0.43183,1.05709,0.7252,1.23337,0.000397999,0.000397999,0.000397999
4,34.3812,1.21063,0.77141,1.15204,0.70433,0.64447,0.68062,0.4215,1.11639,0.71422,1.26746,0.000524206,0.000524206,0.000524206
5,40.4291,1.19924,0.7793,1.15944,0.72424,0.59214,0.66421,0.40593,1.09051,0.78039,1.26411,0.000644753,0.000644753,0.000644753
6,46.3286,1.25926,0.80765,1.18128,0.67636,0.65821,0.66906,0.40131,1.10792,0.76358,1.27494,0.000759642,0.000759642,0.000759642
7,52.3093,1.23857,0.79651,1.16272,0.78172,0.68852,0.69887,0.43515,1.09497,0.7012,1.2612,0.000868872,0.000868872,0.000868872
8,58.295,1.23,0.79625,1.15853,0.72519,0.63319,0.68471,0.42648,1.10537,0.72139,1.27616,0.000972443,0.000972443,0.000972443
9,64.128,1.23537,0.82296,1.18517,0.76266,0.54127,0.63101,0.36726,1.16855,0.84403,1.32328,0.00107036,0.00107036,0.00107036
10,70.0898,1.27532,0.82521,1.18722,0.74831,0.53267,0.60003,0.35022,1.18857,0.8384,1.33776,0.00116261,0.00116261,0.00116261
11,76.1088,1.25038,0.83252,1.16792,0.68707,0.62168,0.63185,0.38289,1.10534,0.89658,1.27847,0.00114606,0.00114606,0.00114606
12,82.0012,1.24565,0.82843,1.17319,0.74546,0.60138,0.65702,0.40596,1.11776,0.78863,1.2689,0.00111776,0.00111776,0.00111776
13,87.8862,1.20739,0.80455,1.16505,0.74463,0.6122,0.6642,0.41621,1.09945,0.72731,1.28958,0.00108947,0.00108947,0.00108947
14,93.8555,1.20443,0.78245,1.1689,0.70819,0.60297,0.65928,0.40483,1.14157,0.74453,1.32107,0.00106118,0.00106118,0.00106118
15,99.6888,1.22683,0.78021,1.17114,0.75547,0.59404,0.67589,0.41186,1.1132,0.75772,1.27639,0.00103288,0.00103288,0.00103288
16,105.699,1.20687,0.78641,1.15115,0.7782,0.62598,0.68614,0.42297,1.16944,0.82819,1.32193,0.00100459,0.00100459,0.00100459
17,111.496,1.24645,0.7837,1.17177,0.7401,0.67577,0.71346,0.44597,1.11919,0.76077,1.30537,0.000976293,0.000976293,0.000976293
18,117.42,1.22324,0.78762,1.15946,0.71381,0.67726,0.68313,0.4245,1.07186,0.71266,1.2341,0.000947999,0.000947999,0.000947999
19,123.373,1.19504,0.75224,1.14929,0.78549,0.65438,0.72786,0.44862,1.11344,0.71611,1.26314,0.000919704,0.000919704,0.000919704
20,129.234,1.19886,0.74535,1.12932,0.83526,0.64395,0.69949,0.43254,1.13656,0.78015,1.30473,0.00089141,0.00089141,0.00089141
21,135.001,1.18713,0.75055,1.13486,0.79539,0.57145,0.66281,0.41449,1.08764,0.77958,1.24367,0.000863116,0.000863116,0.000863116
22,141.023,1.16923,0.74989,1.12239,0.79118,0.64515,0.7073,0.44299,1.08126,0.70777,1.2325,0.000834822,0.000834822,0.000834822
23,146.979,1.18609,0.73416,1.13,0.76168,0.64258,0.70861,0.4559,1.03715,0.75685,1.21726,0.000806528,0.000806528,0.000806528
24,152.808,1.20278,0.74822,1.14144,0.80147,0.64119,0.72429,0.46667,1.08426,0.63673,1.25674,0.000778233,0.000778233,0.000778233
25,158.668,1.18027,0.74267,1.14419,0.79006,0.62664,0.69847,0.42821,1.09856,0.69639,1.27835,0.000749939,0.000749939,0.000749939
26,164.68,1.16009,0.72001,1.10847,0.76668,0.66253,0.71303,0.45896,1.04541,0.67722,1.2343,0.000721645,0.000721645,0.000721645
27,170.668,1.13439,0.68888,1.10464,0.79188,0.6877,0.75985,0.48427,1.04279,0.64979,1.22753,0.000693351,0.000693351,0.000693351
28,176.474,1.14117,0.70655,1.11776,0.76005,0.64974,0.70459,0.45668,1.07358,0.68338,1.23441,0.000665057,0.000665057,0.000665057
29,182.361,1.13864,0.70578,1.12573,0.80255,0.68141,0.71393,0.45105,1.03396,0.65241,1.20791,0.000636762,0.000636762,0.000636762
30,188.16,1.14595,0.70915,1.11662,0.75096,0.69898,0.73641,0.46445,1.01794,0.67968,1.18289,0.000608468,0.000608468,0.000608468
31,193.946,1.14742,0.72752,1.12032,0.80684,0.64727,0.72042,0.45281,1.02276,0.6555,1.18641,0.000580174,0.000580174,0.000580174
32,199.797,1.13372,0.7078,1.10644,0.78551,0.6606,0.73165,0.45639,1.03122,0.65061,1.19821,0.00055188,0.00055188,0.00055188
33,205.69,1.15066,0.70061,1.11887,0.7756,0.70523,0.74496,0.47672,1.03617,0.6181,1.20755,0.000523586,0.000523586,0.000523586
34,211.544,1.12528,0.69143,1.10405,0.76,0.70745,0.73852,0.47417,1.01239,0.64811,1.19206,0.000495291,0.000495291,0.000495291
35,217.564,1.12561,0.68414,1.10783,0.80062,0.67591,0.73305,0.47677,1.01795,0.65223,1.18677,0.000466997,0.000466997,0.000466997
36,223.334,1.11067,0.67327,1.11608,0.7364,0.63066,0.69673,0.44894,1.03004,0.65106,1.19399,0.000438703,0.000438703,0.000438703
37,229.263,1.09926,0.67485,1.0939,0.74721,0.69955,0.74089,0.48404,1.02461,0.63808,1.19099,0.000410409,0.000410409,0.000410409
38,235.306,1.1245,0.68151,1.10372,0.83909,0.64932,0.72975,0.46992,1.03348,0.65792,1.20713,0.000382115,0.000382115,0.000382115
39,241.234,1.11701,0.66776,1.09871,0.73498,0.6687,0.71671,0.46745,1.00386,0.63522,1.18562,0.00035382,0.00035382,0.00035382
40,247.152,1.09453,0.66133,1.09298,0.80149,0.69487,0.73413,0.46687,1.03214,0.65446,1.20906,0.000325526,0.000325526,0.000325526
41,257.596,1.086,0.64418,1.10015,0.75471,0.64624,0.69224,0.44658,1.01357,0.67168,1.18336,0.000297232,0.000297232,0.000297232
42,263.696,1.07219,0.65685,1.09596,0.7461,0.67609,0.71193,0.4564,1.03923,0.65622,1.21085,0.000268938,0.000268938,0.000268938
43,269.648,1.07383,0.62245,1.08092,0.81883,0.65727,0.73394,0.46453,1.00732,0.6273,1.19007,0.000240644,0.000240644,0.000240644
44,275.514,1.06138,0.60652,1.08029,0.83394,0.6875,0.76047,0.49578,0.98542,0.58967,1.16725,0.000212349,0.000212349,0.000212349
45,281.478,1.038,0.61396,1.06449,0.83196,0.67109,0.74091,0.47783,0.98928,0.62726,1.16194,0.000184055,0.000184055,0.000184055
46,287.375,1.03996,0.60186,1.07153,0.8188,0.68009,0.74773,0.47905,1.00275,0.63326,1.18425,0.000155761,0.000155761,0.000155761
47,293.281,1.05014,0.60045,1.08404,0.76358,0.71058,0.73778,0.46926,1.02213,0.63139,1.19093,0.000127467,0.000127467,0.000127467
48,299.137,1.04793,0.59954,1.07758,0.78499,0.67697,0.7454,0.48015,0.99995,0.59817,1.17042,9.91726e-05,9.91726e-05,9.91726e-05
49,305.054,1.03752,0.5992,1.06156,0.75595,0.71041,0.7423,0.47977,0.97602,0.59905,1.15671,7.08784e-05,7.08784e-05,7.08784e-05
50,310.913,1.0483,0.60828,1.0675,0.74354,0.72219,0.74699,0.48316,0.97768,0.60004,1.15916,4.25842e-05,4.25842e-05,4.25842e-05
