epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2999,1.47114,1.241,1.33977,0.6892,0.46736,0.50168,0.2785,1.27299,0.93008,1.43116,0.00012861,0.00012861,0.00012861
2,22.5713,1.51523,1.17695,1.35699,0.80914,0.43309,0.48782,0.27167,1.24693,1.15657,1.43502,0.000266134,0.000266134,0.000266134
3,28.7634,1.52418,1.16023,1.36466,0.78289,0.45819,0.50191,0.27389,1.25942,1.0596,1.4337,0.000397999,0.000397999,0.000397999
4,34.7294,1.4903,1.14526,1.34467,0.84631,0.49101,0.55021,0.31743,1.19651,0.96194,1.39628,0.000524206,0.000524206,0.000524206
5,40.8594,1.46234,1.14877,1.35174,0.48389,0.52193,0.50469,0.28869,1.23094,1.14825,1.41578,0.000644753,0.000644753,0.000644753
6,46.9584,1.49986,1.17248,1.35666,0.79233,0.45788,0.52158,0.28595,1.24083,1.23864,1.41201,0.000759642,0.000759642,0.000759642
7,52.9425,1.48819,1.13985,1.33655,0.59954,0.46528,0.47752,0.26944,1.26885,1.14963,1.42525,0.000868872,0.000868872,0.000868872
8,59.0622,1.46182,1.11802,1.32042,0.62455,0.42883,0.49048,0.27117,1.29287,1.0917,1.4593,0.000972443,0.000972443,0.000972443
9,65.1288,1.48222,1.17465,1.35791,0.41174,0.37148,0.40452,0.21776,1.28635,1.16094,1.4517,0.00107036,0.00107036,0.00107036
10,71.1914,1.49468,1.15281,1.35551,0.41436,0.39073,0.40587,0.20508,1.39232,1.37928,1.51453,0.00116261,0.00116261,0.00116261
11,77.2325,1.42175,1.09863,1.30605,0.8261,0.40636,0.48667,0.25785,1.42394,1.33251,1.557,0.00114606,0.00114606,0.00114606
12,83.0818,1.44213,1.11048,1.32097,0.55343,0.4784,0.49163,0.27778,1.20833,0.99712,1.38759,0.00111776,0.00111776,0.00111776
