epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2735,1.17898,0.8449,1.11207,0.70873,0.64385,0.67848,0.42885,1.15294,0.78766,1.21937,0.00025722,0.00025722,0.00025722
2,19.3834,1.09054,0.66517,1.09328,0.75112,0.62888,0.71113,0.45872,1.10274,0.67216,1.19053,0.000518261,0.000518261,0.000518261
3,25.4576,1.14855,0.68627,1.10598,0.73165,0.69,0.71886,0.46826,1.10958,0.65649,1.20071,0.00076855,0.00076855,0.00076855
4,31.0993,1.11556,0.669,1.09797,0.85902,0.67391,0.73798,0.47388,1.1661,0.66603,1.24392,0.00100809,0.00100809,0.00100809
5,36.9061,1.14894,0.68798,1.10757,0.76012,0.63491,0.6881,0.43142,1.13939,0.73462,1.21459,0.00123687,0.00123687,0.00123687
6,42.6679,1.11665,0.68179,1.11653,0.83587,0.61424,0.69218,0.43904,1.13667,0.72267,1.20034,0.00128753,0.00128753,0.00128753
7,48.325,1.15612,0.7053,1.10447,0.75852,0.66025,0.73138,0.45882,1.14308,0.68205,1.18582,0.00125923,0.00125923,0.00125923
8,54.0711,1.14788,0.70601,1.10966,0.70244,0.60482,0.66826,0.4144,1.13636,0.74787,1.21439,0.00123094,0.00123094,0.00123094
9,59.8799,1.14175,0.68188,1.10531,0.7284,0.68893,0.71747,0.45892,1.10826,0.68005,1.19821,0.00120265,0.00120265,0.00120265
10,65.5383,1.13525,0.68329,1.10858,0.80178,0.62596,0.69406,0.44651,1.098,0.69269,1.17844,0.00117435,0.00117435,0.00117435
11,71.2511,1.10578,0.67424,1.09376,0.80289,0.61034,0.69565,0.4551,1.07484,0.70479,1.15934,0.00114606,0.00114606,0.00114606
12,77.0984,1.13399,0.6778,1.09589,0.88481,0.6353,0.73847,0.46957,1.11256,0.68127,1.20725,0.00111776,0.00111776,0.00111776
13,82.6975,1.13347,0.67666,1.11069,0.80857,0.65742,0.72767,0.45883,1.11453,0.67221,1.20294,0.00108947,0.00108947,0.00108947
14,88.4369,1.11415,0.67096,1.08172,0.82168,0.68932,0.74757,0.47397,1.11073,0.66878,1.18499,0.00106118,0.00106118,0.00106118
15,94.2869,1.1371,0.67575,1.08818,0.78469,0.65097,0.71411,0.46496,1.11057,0.6776,1.18845,0.00103288,0.00103288,0.00103288
16,99.9617,1.11487,0.68206,1.0965,0.76417,0.62746,0.70851,0.4457,1.12452,0.69139,1.18155,0.00100459,0.00100459,0.00100459
17,105.654,1.10308,0.66035,1.08591,0.79539,0.61554,0.69789,0.43986,1.12538,0.71839,1.19551,0.000976293,0.000976293,0.000976293
18,111.383,1.10249,0.66077,1.07597,0.80806,0.67471,0.74046,0.46997,1.11135,0.67986,1.18875,0.000947999,0.000947999,0.000947999
19,116.951,1.11179,0.65657,1.07468,0.79888,0.69609,0.73212,0.46988,1.10308,0.63321,1.1854,0.000919704,0.000919704,0.000919704
20,122.666,1.11519,0.64195,1.08173,0.79774,0.66945,0.74688,0.46782,1.16871,0.66552,1.2249,0.00089141,0.00089141,0.00089141
21,128.477,1.08849,0.6303,1.08349,0.76427,0.73126,0.75443,0.49063,1.09251,0.636,1.18548,0.000863116,0.000863116,0.000863116
