epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,134.153,1.08315,0.63836,1.06705,0.81807,0.65753,0.7241,0.46963,1.0853,0.64987,1.18009,0.000834822,0.000834822,0.000834822
23,139.813,1.08937,0.62936,1.05939,0.82374,0.68307,0.74496,0.4884,1.08386,0.63889,1.18034,0.000806528,0.000806528,0.000806528
24,145.613,1.08507,0.64561,1.07678,0.81938,0.6954,0.75936,0.4882,1.10102,0.65144,1.18041,0.000778233,0.000778233,0.000778233
25,151.283,1.08007,0.63114,1.06811,0.84761,0.68775,0.77099,0.49541,1.08141,0.63126,1.16605,0.000749939,0.000749939,0.000749939
26,157.148,1.06666,0.61755,1.05272,0.80485,0.68449,0.75852,0.49114,1.09874,0.63046,1.17807,0.000721645,0.000721645,0.000721645
27,162.882,1.07468,0.61349,1.06102,0.79851,0.69155,0.74351,0.48236,1.06466,0.64449,1.14929,0.000693351,0.000693351,0.000693351
28,168.659,1.08491,0.61934,1.06154,0.80401,0.67843,0.73126,0.48548,1.08103,0.63955,1.17747,0.000665057,0.000665057,0.000665057
29,174.421,1.07271,0.61469,1.05301,0.79628,0.65321,0.73362,0.47673,1.08511,0.63946,1.17102,0.000636762,0.000636762,0.000636762
30,180.23,1.04729,0.61026,1.0521,0.81551,0.73088,0.76249,0.49648,1.08612,0.62372,1.17124,0.000608468,0.000608468,0.000608468
31,185.849,1.04545,0.60682,1.05315,0.83289,0.6984,0.76458,0.4965,1.10237,0.6208,1.18138,0.000580174,0.000580174,0.000580174
32,191.666,1.02514,0.59554,1.05022,0.83513,0.65925,0.73677,0.47368,1.07736,0.64657,1.16522,0.00055188,0.00055188,0.00055188
33,197.297,1.04069,0.59911,1.05314,0.85435,0.67033,0.74273,0.48426,1.08754,0.62872,1.16033,0.000523586,0.000523586,0.000523586
34,202.924,1.02905,0.58746,1.04547,0.8748,0.66092,0.75875,0.4931,1.09289,0.62179,1.16311,0.000495291,0.000495291,0.000495291
35,208.718,1.04433,0.58179,1.04646,0.82778,0.69838,0.75789,0.48815,1.0879,0.60818,1.17072,0.000466997,0.000466997,0.000466997
36,214.404,1.01682,0.57609,1.05496,0.85449,0.68626,0.7652,0.49696,1.0834,0.61239,1.15702,0.000438703,0.000438703,0.000438703
37,220.152,0.99458,0.573,1.03547,0.87549,0.6433,0.7504,0.48202,1.06628,0.61,1.14495,0.000410409,0.000410409,0.000410409
38,225.972,1.02375,0.58389,1.03361,0.87104,0.69303,0.77587,0.50792,1.04429,0.60084,1.13568,0.000382115,0.000382115,0.000382115
39,231.766,1.02674,0.59485,1.03889,0.83503,0.74427,0.79184,0.51227,1.06965,0.57405,1.15572,0.00035382,0.00035382,0.00035382
40,237.589,1.02948,0.5853,1.03665,0.87843,0.70746,0.77879,0.50983,1.06362,0.58316,1.14861,0.000325526,0.000325526,0.000325526
41,245.925,0.98719,0.55934,1.03942,0.84812,0.68281,0.7765,0.50412,1.07812,0.61557,1.15131,0.000297232,0.000297232,0.000297232
42,251.832,0.96732,0.53605,1.0201,0.8443,0.7095,0.76782,0.50522,1.06287,0.6136,1.15982,0.000268938,0.000268938,0.000268938
43,257.419,0.94985,0.51677,1.01778,0.91005,0.68029,0.77423,0.49855,1.0951,0.60231,1.1809,0.000240644,0.000240644,0.000240644
44,263.176,0.96214,0.52106,1.01937,0.89737,0.68064,0.78261,0.51226,1.05135,0.58377,1.14693,0.000212349,0.000212349,0.000212349
45,268.68,0.94448,0.50522,1.0081,0.79184,0.74626,0.76836,0.50571,1.06509,0.59246,1.1557,0.000184055,0.000184055,0.000184055
46,274.239,0.95034,0.5185,1.01539,0.84717,0.7107,0.77266,0.50272,1.08166,0.61203,1.1672,0.000155761,0.000155761,0.000155761
47,280.023,0.93598,0.50548,1.00889,0.81991,0.74078,0.7722,0.51216,1.05973,0.61391,1.15416,0.000127467,0.000127467,0.000127467
48,285.605,0.93196,0.49583,1.00935,0.79546,0.72944,0.76159,0.50489,1.05354,0.61181,1.14583,9.91726e-05,9.91726e-05,9.91726e-05
49,291.132,0.9163,0.49191,1.00102,0.84308,0.70341,0.76673,0.50658,1.05254,0.59425,1.14899,7.08784e-05,7.08784e-05,7.08784e-05
