epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.487,4.14816,5.04325,4.20684,5e-05,0.00262,2e-05,0,4.16111,4.35596,4.15944,5.716e-05,5.716e-05,5.716e-05
2,159.953,3.9684,5.0525,4.21262,5e-05,0.00262,2e-05,0,4.16252,4.35364,4.15978,0.000126064,0.000126064,0.000126064
3,166.461,4.05304,4.99341,4.18477,5e-05,0.00262,2e-05,1e-05,4.15876,4.35515,4.15673,0.000192138,0.000192138,0.000192138
4,173.346,4.04482,4.89159,4.14618,5e-05,0.00262,2e-05,1e-05,4.15384,4.35056,4.14998,0.000255382,0.000255382,0.000255382
5,179.72,3.89279,4.77192,4.0941,5e-05,0.00262,3e-05,1e-05,4.1443,4.34701,4.13996,0.000315798,0.000315798,0.000315798
6,186.155,3.7112,4.67538,3.93039,5e-05,0.00262,3e-05,0,4.13397,4.342,4.12623,0.000373383,0.000373383,0.000373383
7,192.777,3.40094,4.43208,3.68627,4e-05,0.00262,2e-05,0,4.12542,4.33999,4.12927,0.00042814,0.00042814,0.00042814
8,199.159,3.10594,4.06654,3.42745,4e-05,0.00262,2e-05,0,4.1175,4.35189,4.14499,0.000480067,0.000480067,0.000480067
9,205.699,2.92641,3.76941,3.13248,3e-05,0.00051,1e-05,0,4.11174,4.36837,4.15914,0.000529164,0.000529164,0.000529164
10,212.185,2.72569,3.38392,2.86749,5e-05,0.00473,3e-05,1e-05,4.12438,4.38642,4.18667,0.000575433,0.000575433,0.000575433
11,218.49,2.57062,3.04659,2.59892,4e-05,0.00262,2e-05,0,4.10002,4.397,4.16148,0.000618871,0.000618871,0.000618871
12,224.692,2.37402,2.79981,2.43481,6e-05,0.00314,3e-05,1e-05,4.11964,4.41953,4.17869,0.000659481,0.000659481,0.000659481
13,230.779,2.30118,2.52119,2.23792,6e-05,0.00314,3e-05,1e-05,4.09631,4.4364,4.14562,0.000697261,0.000697261,0.000697261
14,236.876,2.20572,2.348,2.15008,7e-05,0.00473,3e-05,1e-05,4.07831,4.45001,4.11663,0.000732211,0.000732211,0.000732211
15,243.173,2.15276,2.22204,2.04989,4e-05,0.01533,2e-05,0,3.99951,4.47423,4.03119,0.000764332,0.000764332,0.000764332
16,249.174,2.09451,2.1377,1.97564,4e-05,0.01533,2e-05,1e-05,3.93936,4.49476,3.98398,0.000793624,0.000793624,0.000793624
17,255.3,2.04625,2.039,1.94653,5e-05,0.01744,3e-05,1e-05,3.92058,4.51257,3.97394,0.000820086,0.000820086,0.000820086
18,261.493,1.94215,1.84135,1.78793,6e-05,0.01744,3e-05,1e-05,3.89585,4.53194,3.88451,0.000843719,0.000843719,0.000843719
19,267.557,1.93798,1.86746,1.83768,0.00013,0.01687,7e-05,1e-05,3.85745,4.56443,3.89454,0.000864522,0.000864522,0.000864522
20,273.639,1.86055,1.73602,1.73357,0.00074,0.03306,0.00039,0.00014,3.7292,4.4777,3.61339,0.000882496,0.000882496,0.000882496
21,279.745,1.85712,1.65212,1.69976,0.00083,0.055,0.0022,0.0015,3.56313,4.47238,3.54098,0.000863116,0.000863116,0.000863116
22,285.847,1.87521,1.67883,1.69396,0.0007,0.04485,0.00232,0.00154,3.45699,4.40682,3.42138,0.000834822,0.000834822,0.000834822
23,291.917,1.82616,1.61351,1.67072,0.00185,0.07921,0.02766,0.01412,2.54169,3.94402,2.66997,0.000806528,0.000806528,0.000806528
